"state_from","county_from","state_to","county_to","in","out","change"
1,1,1,3,66,0,66
1,1,1,21,201,231,-30
1,1,1,47,265,178,87
1,1,1,51,1077,974,103
1,1,1,69,36,53,-17
1,1,1,73,80,178,-98
1,1,1,81,63,57,6
1,1,1,85,48,0,48
1,1,1,89,29,0,29
1,1,1,97,60,89,-29
1,1,1,101,1620,1117,503
1,1,1,109,44,0,44
1,1,1,117,88,96,-8
1,1,1,125,56,35,21
1,1,1,127,0,28,-28
1,1,8,41,0,73,-73
1,1,12,33,0,33,-33
1,1,12,91,44,0,44
1,1,13,215,38,0,38
1,1,15,3,0,42,-42
1,1,17,163,47,0,47
1,1,45,79,0,47,-47
1,1,48,29,54,47,7
1,1,51,59,0,141,-141
1,1,51,153,0,56,-56
1,3,1,1,0,66,-66
1,3,1,15,67,82,-15
1,3,1,21,53,0,53
1,3,1,25,52,60,-8
1,3,1,31,37,49,-12
1,3,1,35,0,25,-25
1,3,1,39,0,30,-30
1,3,1,43,39,41,-2
1,3,1,47,51,36,15
1,3,1,51,81,46,35
1,3,1,53,220,258,-38
1,3,1,55,28,41,-13
1,3,1,69,66,60,6
1,3,1,73,362,358,4
1,3,1,77,48,36,12
1,3,1,81,140,131,9
1,3,1,89,109,110,-1
1,3,1,95,32,56,-24
1,3,1,97,2665,1846,819
1,3,1,99,74,79,-5
1,3,1,101,209,119,90
1,3,1,103,60,55,5
1,3,1,109,42,30,12
1,3,1,115,51,0,51
1,3,1,117,192,199,-7
1,3,1,121,34,0,34
1,3,1,123,0,33,-33
1,3,1,125,193,136,57
1,3,1,127,43,50,-7
1,3,1,129,53,71,-18
1,3,4,13,47,57,-10
1,3,6,37,42,35,7
1,3,6,73,51,0,51
1,3,12,5,62,76,-14
1,3,12,11,63,29,34
1,3,12,31,61,40,21
1,3,12,33,1016,653,363
1,3,12,57,63,52,11
1,3,12,71,35,0,35
1,3,12,81,39,0,39
1,3,12,86,44,0,44
1,3,12,91,70,82,-12
1,3,12,95,57,25,32
1,3,12,99,40,29,11
1,3,12,101,30,0,30
1,3,12,103,65,0,65
1,3,12,105,35,0,35
1,3,12,113,170,140,30
1,3,13,57,41,0,41
1,3,13,67,89,55,34
1,3,13,77,25,0,25
1,3,13,89,53,47,6
1,3,13,121,45,75,-30
1,3,13,135,54,44,10
1,3,13,139,28,0,28
1,3,13,151,39,0,39
1,3,15,3,38,0,38
1,3,17,31,40,23,17
1,3,22,33,53,50,3
1,3,22,51,61,55,6
1,3,22,71,32,40,-8
1,3,22,103,77,75,2
1,3,22,105,32,0,32
1,3,26,125,32,0,32
1,3,28,35,0,28,-28
1,3,28,47,86,80,6
1,3,28,49,24,0,24
1,3,28,59,94,65,29
1,3,28,87,30,0,30
1,3,28,121,38,0,38
1,3,32,3,48,0,48
1,3,37,119,0,30,-30
1,3,37,133,0,26,-26
1,3,40,143,36,0,36
1,3,47,37,66,59,7
1,3,47,93,36,0,36
1,3,47,125,33,0,33
1,3,47,149,0,36,-36
1,3,47,157,105,52,53
1,3,48,29,37,0,37
1,3,48,85,45,0,45
1,3,48,113,35,35,0
1,3,48,201,104,121,-17
1,3,48,439,52,36,16
1,3,53,33,0,32,-32
1,5,1,11,58,47,11
1,5,1,31,0,33,-33
1,5,1,45,111,190,-79
1,5,1,67,96,131,-35
1,5,1,69,118,148,-30
1,5,1,73,0,39,-39
1,5,1,81,42,77,-35
1,5,1,87,0,43,-43
1,5,1,101,72,123,-51
1,5,1,109,72,59,13
1,5,1,113,35,58,-23
1,5,12,57,40,0,40
1,5,13,215,35,62,-27
1,5,13,239,80,72,8
1,7,1,21,82,93,-11
1,7,1,73,373,390,-17
1,7,1,101,25,0,25
1,7,1,105,54,38,16
1,7,1,117,235,224,11
1,7,1,125,363,402,-39
1,9,1,15,27,0,27
1,9,1,43,290,353,-63
1,9,1,55,163,173,-10
1,9,1,73,2136,1196,940
1,9,1,89,50,75,-25
1,9,1,95,241,284,-43
1,9,1,101,34,0,34
1,9,1,103,0,36,-36
1,9,1,115,174,213,-39
1,9,1,117,83,102,-19
1,9,1,121,0,41,-41
1,9,1,125,28,52,-24
1,9,1,127,93,46,47
1,11,1,5,47,58,-11
1,11,1,87,54,76,-22
1,11,1,101,160,186,-26
1,11,1,109,55,49,6
1,13,1,35,64,35,29
1,13,1,39,50,90,-40
1,13,1,41,108,108,0
1,13,1,51,0,39,-39
1,13,1,85,119,86,33
1,13,1,101,144,220,-76
1,13,1,109,0,38,-38
1,15,1,3,82,67,15
1,15,1,9,0,27,-27
1,15,1,19,141,120,21
1,15,1,27,125,129,-4
1,15,1,29,299,296,3
1,15,1,43,0,31,-31
1,15,1,49,58,41,17
1,15,1,51,34,29,5
1,15,1,55,582,584,-2
1,15,1,73,313,387,-74
1,15,1,81,86,62,24
1,15,1,89,107,185,-78
1,15,1,95,70,58,12
1,15,1,97,0,51,-51
1,15,1,101,72,89,-17
1,15,1,103,0,29,-29
1,15,1,111,104,104,0
1,15,1,115,213,193,20
1,15,1,117,105,123,-18
1,15,1,121,1022,983,39
1,15,1,125,45,87,-42
1,15,1,127,29,0,29
1,15,4,13,28,0,28
1,15,12,5,28,33,-5
1,15,12,31,41,0,41
1,15,12,33,35,0,35
1,15,13,45,91,60,31
1,15,13,67,65,69,-4
