"state","county","pop"
1,1,56309
1,3,180725
1,5,27453
1,7,21945
1,9,58236
1,11,9683
1,13,23080
1,15,128353
1,17,39392
1,19,25699
1,21,44913
1,23,15227
1,25,30256
1,27,16467
1,29,14929
1,31,48318
1,33,61355
1,35,14566
1,37,11683
1,39,39082
1,41,15079
1,43,87010
1,45,49463
1,47,48154
1,49,72791
1,51,82138
1,53,38356
1,55,112077
1,57,18529
1,59,33329
1,61,26505
1,63,9911
1,65,19047
1,67,18461
1,69,106940
1,71,58205
1,73,724515
1,75,16319
1,77,97278
1,79,38098
1,81,124085
1,83,80983
1,85,14681
1,87,22414
1,89,359415
1,91,23953
1,93,30460
1,95,96406
1,97,440968
1,99,25151
1,101,247977
1,103,130972
1,105,11732
1,107,22558
1,109,28714
1,111,23576
1,113,52154
1,115,82143
1,117,198940
1,119,14269
1,121,85735
1,123,44774
1,125,185417
1,127,69970
1,129,18520
1,131,13904
1,133,25318
2,13,1713
2,16,4277
2,20,303939
2,50,17016
2,60,-2
2,68,2260
2,70,4785
2,90,100257
2,100,2648
2,105,2138
2,110,33469
2,122,57686
2,130,14787
2,150,14967
2,164,1512
2,170,83856
2,180,8847
2,185,6610
2,188,6682
2,201,4888
2,220,9431
2,230,1175
2,240,7657
2,261,10620
2,270,7237
2,280,6474
2,282,531
2,290,5719
4,1,63974
4,3,127679
4,5,128344
4,7,53486
4,9,28824
4,11,8060
4,12,15254
4,13,3959276
4,15,190734
4,17,100098
4,19,999670
4,21,242023
4,23,51967
4,25,217390
4,27,207742
5,1,20929
5,3,23999
5,5,44160
5,7,220794
5,9,38710
5,11,11628
5,13,5428
5,15,27330
5,17,11687
5,19,21558
5,21,17227
5,23,26003
5,25,9503
5,27,24442
5,29,21831
5,31,92260
5,33,62478
5,35,54511
5,37,19354
5,39,8408
5,41,13987
5,43,18407
5,45,105930
5,47,18148
5,49,11298
5,51,100162
5,53,19273
5,55,42524
5,57,22741
5,59,32555
5,61,14745
5,63,37829
5,65,12610
5,67,16308
5,69,80860
5,71,25234
5,73,7495
5,75,17244
5,77,8563
5,79,11419
5,81,13587
5,83,23726
5,85,68713
5,87,16012
5,89,16528
5,91,41891
5,93,49466
5,95,8791
5,97,8693
5,99,9440
5,101,8394
5,103,27331
5,105,10457
5,107,22158
5,109,11376
5,111,25004
5,113,19962
5,115,60133
5,117,8656
5,119,409699
5,121,18417
5,123,24837
5,125,107032
5,127,11529
5,129,7530
5,131,129588
5,133,15938
5,135,17624
5,137,11880
5,139,47388
5,141,16264
5,143,192335
5,145,74532
5,147,7702
5,149,21264
6,1,1592306
6,3,1017
6,5,38601
6,7,211024
6,9,46911
6,11,25859
6,13,1121291
6,15,23593
6,17,192856
6,19,922508
6,21,30126
6,23,127664
6,25,200094
6,27,19965
6,29,800231
6,31,134021
6,33,59215
6,35,25792
6,37,10304247
6,39,135770
6,41,244567
6,43,18213
6,45,90142
6,47,251937
6,49,8651
6,51,12422
6,53,442317
6,55,147510
6,57,105393
6,59,3272772
6,61,361865
6,63,21982
6,65,2135566
6,67,1503934
6,69,61188
6,71,2090451
6,73,3324495
6,75,828893
6,77,708720
6,79,267255
6,81,780146
6,83,423054
6,85,1969857
6,87,274699
6,89,182378
6,91,3222
6,93,45488
6,95,450094
6,97,522866
6,99,544280
6,101,97245
6,103,61323
6,105,11230
6,107,429209
6,109,57710
6,111,915570
6,113,190572
6,115,66673
8,1,449841
8,3,14768
8,5,586653
8,7,11905
8,9,4100
8,11,4364
8,13,298718
8,14,96356
8,15,17384
8,17,2083
8,19,9284
8,21,8211
8,23,3032
8,25,2952
8,27,3952
8,29,31599
8,31,566179
8,33,2076
8,35,291288
8,37,48252
8,39,22377
8,41,644254
8,43,42132
8,45,52129
8,47,5031
8,49,13680
8,51,13795
8,53,768
8,55,6537
8,57,1463
8,59,547004
8,61,1552
8,63,8318
8,65,6776
8,67,48526
8,69,308090
8,71,15753
8,73,4949
8,75,20782
8,77,151542
8,79,866
8,81,14685
8,83,25225
8,85,42680
8,87,30125
8,89,19984
8,91,4283
